doi,title,abstract,publication_date
10.1007/978-3-540-85361-9_33,Global Progress in Dynamically Interleaved Multiparty Sessions,,2013-03-20
10.1007/978-3-540-78663-4_18,On Progress for Structured Communications,,
10.1017/S095679681400001X,Propositions as sessions,,2016-03-20
10.25560/9475,Parameterised session types communication patterns : through the looking glass of session types,,2020-03-20
10.4204/EPTCS.61.7,A type checking algorithm for qualified session types,,2011-03-20
10.1007/978-3-319-59746-1_13,Full-Abstraction for Must Testing Preorders - (Extended Abstract),,2014-03-20
10.1017/S0956796819000169,Gradual Session Types,,2011-03-20
10.1145/3414080.3414087,Verified Linear Session-Typed Concurrent Programming,,2012-03-20
10.1007/s00165-015-0334-2,An algebraic theory for web service contracts,,
10.1007/978-3-030-36987-3_5,A Very Gentle Introduction to Multiparty Session Types,,2018-03-20
10.1145/3110279,Chaperone contracts for higher-order sessions,,2012-03-20
10.1007/978-3-642-19718-5_4,Typing Copyless Message Passing,,2018-03-20
10.1109/DASC.2013.117,A Bounded Polymorphic Session Type System with Delegation,,2011-03-20
10.1007/978-3-642-40184-8_28,Globally Governed Session Semantics,,2017-03-20
10.1007/978-3-030-59025-3_5,Session Types Without Sophistry - System Description,,2013-03-20
10.1017/S0960129514000176,Linearity  session types and the Pi calculus,,2014-03-20
10.1007/978-3-319-14977-6_12,A Routing Calculus with Flooding Updates,,2015-03-20
10.1017/S096012951400005X,Sub-behaviour relations for session-based client/server systems,,2017-03-20
10.1145/3009837.3009847,Fencing off go: liveness and safety for channel-based programming,,2018-03-20
10.1016/j.jlamp.2018.01.001,Multiparty session types  beyond duality,,2017-03-20
10.1007/978-3-319-92612-4_2,Applied Choreographies,,2015-03-20
10.1007/978-3-540-68679-8_42,The Pairing of Contracts and Session Types,,2012-03-20
10.1145/2480362.2480716,Disciplined structured communications with consistent runtime adaptation,,2017-03-20
10.1007/978-3-319-30936-1_5,Subtyping Supports Safe Session Substitution,,2011-03-20
10.1017/S0956796809990268,Linear type theory for asynchronous session types,,2011-03-20
10.1007/978-3-662-54458-7_26,On the Undecidability of Asynchronous Session Subtyping,,2017-03-20
10.1109/SOCA.2012.6449432,Service integration via target-transparent mediation,,2020-03-20
10.1007/978-3-540-78789-1_8,Goal-Oriented Composition of Services,,2019-03-20
10.1007/978-3-030-45237-7_17,EMTST: Engineering the Meta-theory of Session Types,,2013-03-20
10.4204/EPTCS.304.8,The Cπ-calculus: a Model for Confidential Name Passing,,2014-03-20
10.1145/2643135.2643138,On the Preciseness of Subtyping in Session Types,,2019-03-20
10.1145/2873052,Foundations of Session Types and Behavioural Contracts,,2020-03-20
10.1017/S0960129514000243,Modelling session types using contracts,,2011-03-20
10.2168/LMCS-11(4:12)2015,Modular Session Types for Objects,,2013-03-20
10.1016/j.entcs.2006.12.041,A Calculus of Global Interaction based on Session Types,,2012-03-20
10.4204/EPTCS.69.2,Channels as Objects in Concurrent Object-Oriented Programming,,2013-03-20
10.2168/LMCS-12(2:10)2016,Using higher-order contracts to model session types,,2012-03-20
10.1007/978-3-662-45917-1_11,Corecursion and Non-divergence in Session-Typed Processes,,2013-03-20
10.1016/j.jlamp.2015.09.003,Combining behavioural types with security analysis,,2019-03-20
10.1007/978-3-319-41579-6_8,Behavioural Analysis of Sessions Using the Calculus of Structures,,2017-03-20
10.1007/978-3-662-46678-0_1,Polarized Substructural Session Types,,2015-03-20
10.1007/978-3-540-72952-5_17,Performance-Oriented Comparison of Web Services Via Client-Specific Testing Preorders,,2017-03-20
10.1007/11785477_20,Session Types for Object-Oriented Languages,,2019-03-20
10.1145/1328438.1328471,A theory of contracts for web services,,2020-03-20
10.1007/s00165-016-0358-2,Reversible client/server interactions,,2017-03-20
10.4204/EPTCS.160.9,Session Types as Generic Process Types,,2011-03-20
10.2168/LMCS-12(1:1)2016,Type-checking Liveness for Collaborative Processes with Bounded and Unbounded Recursion,,2020-03-20
10.1109/ICECCS.2015.33,Towards a Session Logic for Communication Protocols,,2018-03-20
10.1007/978-3-642-01918-0_5,Asynchronous Session Types: Exceptions and Multiparty Interactions,,2018-03-20
10.1007/978-3-540-85361-9_32,Structured Interactional Exceptions in Session Types,,2016-03-20
10.1007/978-3-642-38613-8_21,An Algebraic Theory for Web Service Contracts,,2019-03-20
10.2168/LMCS-12(4:6)2016,Automata for Specifying and Orchestrating Service Contracts,,2018-03-20
10.1145/2827695,Multiparty Asynchronous Session Types,,2017-03-20
10.1016/J.SCICO.2018.08.005,Session-ocaml: A session-based library with polarities and lenses,,2019-03-20
10.1007/978-3-540-73228-0_23,Two Session Typing Systems for Higher-Order Mobile Processes,,2018-03-20
10.1016/j.jlamp.2015.10.005,Verifiable abstractions for contract-oriented systems,,2016-03-20
10.4204/EPTCS.314.5,Mixed Sessions: the Other Side of the Tape,,2013-03-20
10.1145/3110281,Manifest sharing with session types,,2019-03-20
10.4204/EPTCS.203.3,Precise subtyping for synchronous multiparty sessions,,2018-03-20
10.4204/EPTCS.166.10,Loosening the notions of compliance and sub-behaviour in client/server systems,,2017-03-20
10.2168/LMCS-8(4:6)2012,Parameterised Multiparty Session Types,,2014-03-20
10.1145/2429069.2429101,Deadlock-freedom-by-design: multiparty asynchronous global programming,,2014-03-20
10.1016/j.ic.2015.02.002,Session typing and asynchronous subtyping for the higher-order π-calculus,,2018-03-20
10.1016/j.tcs.2006.06.028,Type checking a multithreaded functional language with session types,,2015-03-20
10.1007/978-3-319-89884-1_27,Session-Typed Concurrent Contracts,,2014-03-20
10.1007/978-3-030-45237-7_3,Deciding the Bisimilarity of Context-Free Session Types,,2015-03-20
10.4230/LIPIcs.CONCUR.2018.30,A Universal Session Type for Untyped Asynchronous Communication,,2017-03-20
10.1007/978-3-540-68265-3_14,How to Infer Finite Session Types in a Calculus of Services and Sessions,,2013-03-20
10.1007/978-3-642-37036-6_19,Behavioral Polymorphism and Parametricity in Session-Based Communication,,2014-03-20
10.1017/S0960129511000405,On projecting processes into session types,,2011-03-20
10.1007/978-3-662-45231-8_7,Towards the Typing of Resource Deployment,,2013-03-20
10.1145/1599410.1599411,Session types for linear multithreaded functional programming,,2017-03-20
10.1007/978-3-642-38493-6_17,Typing Progress in Communication-Centred Systems,,2020-03-20
10.1145/2370776.2370796,Exception handling for copyless messaging,,2012-03-20
10.1145/2370776.2370794,Session types revisited,,2020-03-20
10.1007/978-3-642-00590-9_22,Abstract Processes in Orchestration Languages,,2014-03-20
10.4204/EPTCS.91.2,Parameterized Concurrent Multi-Party Session Types,,2012-03-20
10.1145/1140335.1140344,BASS: boxed ambients with safe sessions,,2014-03-20
10.4204/EPTCS.291.2,FreeST: Context-free Session Types in a Functional Language,,2019-03-20
10.1007/978-3-642-11623-0_5,Typing Asymmetric Client-Server Interaction,,2011-03-20
10.1017/S0960129514000188,Global progress for dynamically interleaved multiparty sessions,,2017-03-20
10.1145/3428291,Revisiting iso-recursive subtyping,,2019-03-20
10.1007/978-3-662-49674-9_52,Characteristic Formulae for Session Types,,2018-03-20
10.1145/3437992.3439914,Machine-checked semantic session typing,,2013-03-20
10.1007/978-3-540-85780-8_29,A Taxonomy of Deterministic Forgetting Automata,,2015-03-20
10.1142/S0129054107004991,Forgetting Automata and Unary Languages,,2018-03-20
10.1142/S0129054110007453,A Taxonomy of Deterministic Forgetting Automata,,2012-03-20
10.3233/FI-2016-1439,Strongly Limited Automata,,2012-03-20
10.1007/978-3-319-30000-9_3,Restricted Turing Machines and Language Recognition,,2019-03-20
10.1007/978-3-540-69507-3_44,Restarting Tree Automata,,2020-03-20
10.1007/978-3-642-22600-7_2,On Restarting Automata with Window Size One,,2018-03-20
10.1007/978-3-030-23247-4_4,Limited Automata: Properties  Complexity and Variants,,2015-03-20
10.1145/2818936.2818947,Guest Column: One-Tape Turing Machine Variants and Language Recognition,,2015-03-20
10.14279/DEPOSITONCE-2032,Behavioral congruences and verification of graph transformation systems with applications to model refactoring,,2015-03-20
10.5860/choice.47-3212,The Space and Motion of Communicating Agents,,2011-03-20
10.1016/B978-0-444-51624-4.50009-5,Concurrency Theory: A Historical Perspective on Coinduction and Process Calculi,,2015-03-20
10.1007/978-3-540-68679-8_33,Petri Nets  Discrete Physics  and Distributed Quantum Computation,,2013-03-20
10.1109/SMC.2019.8914360,Some issues in modelling comprehensive situation awareness*,,2019-03-20
10.1007/978-3-540-73094-1_1,Petri Nets  Discrete Physics  and Distributed Quantum Computation,,2019-03-20
10.1017/S096012951600027X,The algebra of recursive graph transformation language UnCAL: complete axiomatisation and iteration categorical semantics,,2019-03-20
10.1007/s10485-019-09565-x,Dynamical Systems and Sheaves,,2018-03-20
10.1007/978-3-642-34407-7_11,Hardware Design with Generalized Arrows,,2017-03-20
10.1016/j.scico.2012.05.006,Invariant assertions  invariant relations  and invariant functions,,2015-03-20
10.1016/j.jsc.2012.04.001,Invariant functions and invariant relations: An alternative to invariant assertions,,2017-03-20
10.1007/978-3-642-04639-1_17,Relational Methods in the Analysis of While Loops: Observations of Versatility,,2013-03-20
10.1145/1810295.1810369,Using invariant functions and invariant relations to compute loop functions,,2015-03-20
10.1109/SEW.2007.49,A Refinement Based Framework for Computing Loop Behavior,,2014-03-20
10.1016/j.jlamp.2018.02.001,Convergence: Integrating termination and abort-freedom,,2014-03-20
10.29007/zhz4,A Comparative Study of Invariant Assertions  Invariant Relations  and Invariant Functions,,2011-03-20
10.1109/sew.2007.87,A Refinement Based Framework for Computing Loop Behavior,,2017-03-20
10.1109/TSE.2016.2521379,Software Reliability Analysis Using Weakest Preconditions in Linear Assignment Programs,,2011-03-20
10.1016/j.jlap.2014.02.013,"A relation-algebraic approach to the ""Hoare logic"" of functional dependencies",,2018-03-20
10.1016/j.jlap.2012.04.001,A versatile concept for the analysis of loops,,2015-03-20
10.1109/CGO.2013.6494975,External reviewers,,2012-03-20
10.1109/HICSS.2007.32,A Semantic Recognizer Infrastructure for Computing Loop Behavior,,2018-03-20
10.1023/A:1018969728171,Proof planning for strategy development,,2020-03-20
10.1016/j.jsc.2008.11.008,Mechanical inference of invariants for FOR-loops,,2015-03-20
10.1007/s00224-008-9106-1,Unavoidable Sets of Partial Words,,2016-03-20
10.1016/j.dam.2003.11.003,Patterns in words and languages,,2011-03-20
10.1007/978-3-540-39886-8_19,Combinatorics on Words,,2017-03-20
10.37236/6210,Grasshopper Avoidance of Patterns,,2016-03-20
10.4230/LIPIcs.MFCS.2016.81,Every Binary Pattern of Length Greater Than 14 Is Abelian-2-Avoidable,,2017-03-20
10.37236/621,Further Applications of a Power Series Method for Pattern Avoidance,,2014-03-20
10.3233/FI-2017-1563,Patterns and Distances in Words Related to DNA Rearrangement,,2014-03-20
10.1051/ita/2014012,Existence of an infinite ternary 64-abelian square-free word,,2018-03-20
10.37236/5483,Avoidability Index for Binary Patterns with Reversal,,2019-03-20
10.37236/7074,Some Variations on a Theme of Irina Mel'nichuk Concerning the Avoidability of Patterns in Strings of Symbols,,2017-03-20
10.1051/ita/2014015,Binary patterns in binary cube-free words: Avoidability and growth,,2019-03-20
10.1109/CCECE.2013.6567853,Exploration of conflict situations in deterministic cancellation parser,,2015-03-20
10.1007/978-3-540-39429-7_16,Repairs and Consistent Answers for XML Data with Functional Dependencies,,2017-03-20
10.1016/S0306-4379(02)00021-2,Why is the snowflake schema a good data warehouse design?,,2019-03-20
10.1145/1065167.1065187,Computing cores for data exchange: new algorithms and practical solutions,,2011-03-20
10.1145/1458082.1458087,Dynamic faceted search for discovery-driven analysis,,2013-03-20
10.1007/s13173-011-0054-2,Contributions of Jayme Luiz Szwarcfiter to graph theory and computer science,,2020-03-20
10.2478/mape-2019-0008,Comparative analysis of soil magnetic susceptibility and concentration of rare earth elements in soil of problematic areas,,
10.4213/DM203,Коллективы автоматов в лабиринтах@@@Collectives of automata in labyrinths,,2013-03-20
10.1007/s00446-020-00369-0,A tight lower bound for semi-synchronous collaborative grid exploration,,2014-03-20
10.1145/571825.571853,Searching for a black hole in arbitrary networks: optimal mobile agent protocols,,2020-03-20
10.1007/11429647_13,Space Lower Bounds for Graph Exploration via Reduced Automata,,2012-03-20
10.1007/11685654_1,The Reduced Automata Technique for Graph Exploration Space Lower Bounds,,2015-03-20
10.1007/978-3-540-24749-4_22,Digraphs Exploration with Little Memory,,2015-03-20
10.1016/j.tcs.2005.07.014,Graph exploration by a finite automaton,,2013-03-20
10.1007/978-3-642-03816-7_43,Graph Decomposition for Improving Memoryless Periodic Exploration,,2020-03-20
10.1137/1.9781611974331.CH3,Undirected Graph Exploration with ⊝(log log n) Pebbles,,2011-03-20
10.1007/978-3-030-11072-7_2,Moving and Computing Models: Agents,,2018-03-20
10.1016/j.dam.2007.11.001,Impact of memory size on graph exploration capability,,2018-03-20
10.4230/LIPIcs.ICALP.2019.137,Energy Consumption of Group Search on a Line,,2016-03-20
10.4230/LIPIcs.ESA.2019.35,Building a Nest by an Automaton,,2015-03-20
10.1142/S0129054112500104,Label-Guided Graph Exploration with Adjustable Ratio of Labels,,2013-03-20
10.22405/2226-8383-2019-20-3-165-192,Поведение конечных автоматов в лабиринтах,,2011-03-20
10.1145/3356883,Tight Bounds for Undirected Graph Exploration with Pebbles and Multiple Agents,,2019-03-20
10.1137/1.9781611974782.14,Exploring an Infinite Space with Finite Memory Scouts,,2014-03-20
10.1007/978-3-642-33651-5_5,Memory Lower Bounds for Randomized Collaborative Search and Implications for Biology,,2019-03-20
10.1007/978-3-540-92248-3_2,Memory Efficient Anonymous Graph Exploration,,2015-03-20
10.1016/j.tcs.2012.01.035,More efficient periodic traversal in anonymous undirected graphs,,2015-03-20
10.1007/978-3-030-54921-3_9,Exploration of Time-Varying Connected Graphs with Silent Agents,,2018-03-20
10.1007/11523468_28,Label-Guided Graph Exploration by a Finite Automaton,,2017-03-20
10.1007/978-3-642-11476-2_14,More Efficient Periodic Traversal in Anonymous Undirected Graphs,,2018-03-20
10.1007/978-3-540-92221-6_27,On the Solvability of Anonymous Partial Grids Exploration by Mobile Robots,,2015-03-20
10.1007/978-3-642-35476-2_17,Black Hole Search and Exploration in Unoriented Tori with Synchronous Scattered Finite Automata,,2017-03-20
10.1007/978-3-030-23679-3_2,Graph-Walking Automata: From Whence They Come  and Whither They are Bound,,2016-03-20
10.2168/LMCS-3(2:3)2007,Automata with Nested Pebbles Capture First-Order Logic with Transitive Closure,,2020-03-20
10.1007/978-1-349-95810-8_426,Ecole Normale Supérieure De Lyon,,2018-03-20
10.1007/s00446-006-0154-y,Searching for a black hole in arbitrary networks: optimal mobile agents protocols,,2011-03-20
10.1007/s00446-016-0285-8,The ANTS problem,,2017-03-20
10.1016/j.tcs.2008.02.004,Distributed chasing of network intruders,,2017-03-20
10.1145/1383369.1383373,Label-guided graph exploration by a finite automaton,,2012-03-20
10.1145/2603088.2603118,Logical characterization of weighted pebble walking automata,,2018-03-20
10.1515/156939203322694736,Collectives of automata in labyrinths,,2019-03-20
10.1007/11780823_6,Setting Port Numbers for Fast Graph Exploration,,2020-03-20
10.1016/j.jcss.2007.09.004,Fast periodic graph exploration with constant memory,,2019-03-20
10.1007/978-3-030-11072-7_16,Graph Explorations with Mobile Agents,,2013-03-20
10.1007/11780823_7,Distributed Chasing of Network Intruders,,2016-03-20
10.1016/j.ipl.2008.08.011,Anonymous graph exploration without collision by mobile robots,,2012-03-20
10.1007/978-3-540-69355-0_14,On the Power of Local Orientations,,2015-03-20
10.1016/j.ipl.2017.06.010,Time and space optimality of rotor-router graph exploration,,2019-03-20
10.1016/j.tcs.2008.03.035,Setting port numbers for fast graph exploration,,2017-03-20
10.1007/978-3-540-72951-8_4,Fast Periodic Graph Exploration with Constant Memory,,2012-03-20
10.1007/s00453-020-00752-0,Building a Nest by an Automaton,,2019-03-20
10.1007/s00453-011-9518-1,Graph Decomposition for Memoryless Periodic Exploration,,2011-03-20
10.1137/1.9781611975994.71,Navigating an Infinite Space with Unreliable Movements,,2011-03-20
10.14279/DEPOSITONCE-8714,Efficient graph exploration,,2013-03-20
10.1007/11429647_12,Finding Short Right-Hand-on-the-Wall Walks in Graphs,,2015-03-20
10.4230/LIPIcs.DISC.2020.13,Tight Bounds for Deterministic High-Dimensional Grid Exploration,,2015-03-20
10.1007/978-3-319-78822-7_5,Open Queueing Network Algorithms \(f{\bigl (G(V E)\bigr )}\),,2011-03-20
10.1504/IJOR.2007.012461,A tandem queueing system with task-splitting  feedback  and blocking,,2013-03-20
10.1007/S11750-012-0256-6,Queues with interruptions: a survey,,2017-03-20
10.1016/J.TRB.2016.07.013,On the analytical approximation of joint aggregate queue-length distributions for traffic networks: A stationary finite capacity Markovian network approach,,2020-03-20
10.1016/S0166-5316(02)00093-7,On the large deviations approximation for the stationary distribution of skip-free regulated queueing networks,,2013-03-20
10.1007/978-3-319-78822-7_2,Problem Overview $$\varOmega {\bigl (G(V E)\bigr )}$$,,2011-03-20
10.1007/978-3-642-02742-0_11,Queueing Networks with Blocking: Analysis  Solution Algorithms and Properties,,2015-03-20
10.1023/B:ANOR.0000011185.77227.ae,Combining Routing and Buffer Allocation Problems in Series-Parallel Queueing Networks,,2017-03-20
10.1515/bj-2017-0004,Influence of Hemodialysis Treatment on Biochemical Markers of Bone Disease,,2017-03-20
10.1080/24725854.2017.1300359,Simultaneous buffer and service rate allocation in open finite queueing networks,,2017-03-20
10.1016/S0305-0548(00)00060-5,Buffer allocation in flow-shop-type production systems with general arrival and service patterns,,2020-03-20
10.1016/J.SBSPRO.2012.09.807,An Analytical Approximation of the Joint Distribution of Aggregate Queue-Lengths in an Urban Network,,2012-03-20
10.1016/S0166-5316(02)00089-5,Queueing networks with blocking,,2018-03-20
10.1016/j.ejor.2008.04.035,An analytic finite capacity queueing network model capturing the propagation of congestion and blocking,,2020-03-20
10.1155/2012/906486,Strong Truncation Approximation in Tandem Queues with Blocking,,2011-03-20
10.18500/1816-9791-2013-13-2-2-14-20,Identification of a State Machine Structure with Finites Fragment of Behavior,,2018-03-20
10.1007/978-0-387-89494-2_2,Evaluative Models of Discrete Part Production Lines,,2018-03-20
10.1007/s00287-010-0466-y,Dijkstras fruchtbarer  folgenreicher Irrtum,,2014-03-20
10.1007/s00287-010-0446-2,Dijkstras fruchtbarer  folgenreicher Irrtum,,2014-03-20
10.1007/s00287-012-0627-2,Turing und die Verifikation,,2012-03-20
10.1016/j.jlap.2012.01.004,Deriving a Floyd-Hoare logic for non-local jumps from a formulæ-as-types notion of control,,2019-03-20
10.1007/978-3-030-45260-5_1,On Fixpoint/Iteration/Variant Induction Principles for Proving Total Correctness of Programs with Denotational Semantics,,2015-03-20
10.1145/2429069.2429081,Automating relatively complete verification of higher-order functional programs,,2017-03-20
10.1007/978-1-84882-745-5,Verification of Sequential and Concurrent Programs,,2014-03-20
10.1016/j.tcs.2013.11.003,An observationally complete program logic for imperative higher-order functions,,2016-03-20
10.1145/3158100,Relatively complete refinement type system for verification of higher-order non-deterministic programs,,2016-03-20
10.1109/LICS.2005.5,An observationally complete program logic for imperative higher-order functions,,2019-03-20
10.1007/s00165-019-00501-3,Fifty years of Hoare’s logic,,2011-03-20
10.1023/A:1021752130394,Polynomial Formal Verification of Multipliers,,2016-03-20
10.1109/ATS.2008.40,Level-Testability of Multi-operand Adders,,2020-03-20
10.1587/TRANSINF.E93.D.2783,A C-Testable 4-2 Adder Tree for an Easily Testable High-Speed Multiplier,,2018-03-20
10.1109/VTEST.1997.599468,Polynomial formal verification of of multipliers,,2012-03-20
10.21236/ada596770,Self-Organized Terrorist-Counterterrorist Adaptive Coevolutions  Part 1: A Conceptual Design,,2018-03-20
10.1007/978-3-642-18469-7_10,Drawing Ordered (k - 1)-Ary Trees on k-Grids,,2013-03-20
10.1109/ICDIM.2016.7829773,Attribute graph grammar method for research information collection and sharing,,2017-03-20
10.1007/BF02086608,The realization problem for Euclidean minimum spanning trees is NP-hard,,2019-03-20
10.1023/A:1009771921595,Constrained Graph Layout,,2015-03-20
10.1007/11618058_16,Delta-Confluent Drawings,,2013-03-20
10.1109/IV.2002.1028778,A visualization system of relationships among papers based on the graph drawing problem,,2011-03-20
10.1002/net.10092,A linear algorithm for compact box-drawings of trees,,2018-03-20
10.1007/978-3-319-73915-1_25,On Upward Drawings of Trees on a Given Grid,,2018-03-20
10.7155/jgaa.00287,Drawing Unordered Trees on k-Grids,,2015-03-20
10.1007/978-1-4939-2864-4_654,Symmetric Graph Drawing,,2016-03-20
10.1142/9789812773289_0016,NP-completeness of minimal width unordered tree layout,,2016-03-20
10.1007/978-3-642-27848-8_654-1,Symmetric Graph Drawing,,2017-03-20
10.5220/0007307701910198,Combining Interactive Hierarchy Visualizations in a Web-based Application,,2016-03-20
10.1002/spe.2213,Drawing non‐layered tidy trees in linear time,,2016-03-20
10.1007/3-540-36151-0_32,Improving Walker's Algorithm to Run in Linear Time,,2018-03-20
10.7155/jgaa.00093,NP-Completeness of Minimal Width Unordered Tree Layout,,2017-03-20
10.7155/jgaa.00090,Computing and Drawing Isomorphic Subgraphs,,2011-03-20
10.1007/3-540-36151-0_8,Computing and Drawing Isomorphic Subgraphs,,2018-03-20
10.1109/ROPEC50909.2020.9258774,Understandability in class diagrams,,2019-03-20
10.1007/s00236-004-0138-y,On the complexity of drawing trees nicely: corrigendum,,2012-03-20
10.1007/978-3-642-28076-4_20,Drawing Unordered Trees on k-Grids,,2014-03-20
10.1007/978-1-84882-240-5_5,Intermediate Program Representation,,2011-03-20
10.1017/S0956796802004379,Syntactic accidents in program analysis: on the impact of the CPS transformation,,2020-03-20
10.1145/2950290.2950292,Static DOM event dependency analysis for testing web applications,,2012-03-20
10.1145/1296907.1296926,Overlooking roots: a framework for making nondeferred reference-counting garbage collection fast,,2015-03-20
10.4230/OASIcs.FMBC.2020.4,Tezla  an Intermediate Representation for Static Analysis of Michelson Smart Contracts,,2011-03-20
10.1007/11860990_22,Fast Profile-Based Partial Redundancy Elimination,,2014-03-20
10.1145/185084.185105,A Checkable Interface Language for Pointer-Based Structures,,2018-03-20
10.1145/3136014.3136029,FlowSpec: declarative dataflow analysis specification,,2011-03-20
10.1016/j.scico.2006.01.009,Describing data flow analysis techniques with Kleene algebra,,2020-03-20
10.14778/2350229.2350245,Spinning Fast Iterative Data Flows,,2011-03-20
10.1007/978-3-540-73589-2_25,A Staged Static Program Analysis to Improve the Performance of Runtime Monitoring,,2011-03-20
10.1016/J.JLAP.2012.03.011,Static Analysis of IMC,,2018-03-20
10.1007/978-3-319-96142-2_8,Program Analysis Is Harder Than Verification: A Computability Perspective,,2020-03-20
10.1109/TSE.2005.27,Unpredication  unscheduling  unspeculation: reverse engineering Itanium executables,,2017-03-20
10.2168/LMCS-8(3:17)2012,Transfer Function Synthesis without Quantifier Elimination,,2016-03-20
10.22028/D291-26418,Cache persistence analysis for embedded real-time systems,,2012-03-20
10.1145/2660193.2660214,Determinacy in static analysis for jQuery,,2020-03-20
10.1007/s11334-013-0198-7,Precise shape analysis using field sensitivity,,2011-03-20
10.1007/978-3-540-78800-3_20,Interprocedural Analysis of Concurrent Programs Under a Context Bound,,2011-03-20
10.1145/1926385.1926389,Points-to analysis with efficient strong updates,,2014-03-20
10.7146/BRICS.V12I31.21898,Type Checking with XML Schema in XACT,,2018-03-20
10.1145/989393.989412,Interprocedural constant propagation,,2011-03-20
10.1109/CIC.2006.22,An Empirical Study of Iterative Data-Flow Analysis,,2011-03-20
10.1145/2882903.2915244,How to Architect a Query Compiler,,2016-03-20
10.1007/978-3-540-30081-6_11,A Runtime System for XML Transformations in Java,,2014-03-20
10.1109/EuroSP48549.2020.00041,Chorus: a Programming Framework for Building Scalable Differential Privacy Mechanisms,,2012-03-20
10.1007/BF00263194,A denotational framework for data flow analysis,,2011-03-20
10.1023/A:1007588710878,Data Dependence Analysis of Assembly Code,,2020-03-20
10.1016/j.scico.2009.11.007,XML graphs in program analysis,,2013-03-20
10.1007/978-3-030-17465-1_22,PhASAR: An Inter-procedural Static Analysis Framework for C/C++,,2012-03-20
10.1145/2220365.2220368,On a Technique for Transparently Empowering Classical Compiler Optimizations on Multithreaded Code,,2012-03-20
10.1016/j.ipl.2005.11.017,Using postdomination to reduce space requirements of data flow analysis,,2015-03-20
10.7939/r3-dk74-he24,Guiding Inlining Decisions Using Post-Inlining Transformations,,2017-03-20
10.1109/ICSM.2004.1357836,Advanced slicing of sequential and concurrent programs,,2017-03-20
10.1109/SCC.2007.22,Advanced Verification of Distributed WS-BPEL Business Processes Incorporating CSSA-based Data Flow Analysis,,2014-03-20
10.1007/978-1-4419-5906-5_1356,Static Program Analysis,,2013-03-20
10.1007/s11432-016-5572-2,High-confidence software evolution,,2013-03-20
10.1145/2678015.2682535,Object-sensitive Type Analysis of PHP,,2020-03-20
10.1145/1932681.1863554,Polyvariant flow analysis with higher-ranked polymorphic types and higher-order effect operators,,2015-03-20
10.1145/2338965.2336758,Remedying the eval that men do,,2020-03-20
10.4230/LIPIcs.ECOOP.2019.8,Static Analysis for Asynchronous JavaScript Programs,,2013-03-20
10.1145/945885.945890,Extending Java for high-level Web service construction,,2012-03-20
10.5075/epfl-thesis-8762,Compilation and Code Optimization for Data Analytics,,2012-03-20
10.1145/1286821.1286829,An improved bound for call strings based interprocedural analysis of bit vector frameworks,,2016-03-20
10.1109/TCAD.2010.2095630,Static Analysis of Register File Vulnerability,,2019-03-20
10.1145/2980983.2908096,From Datalog to flix: a declarative language for fixed points on lattices,,2019-03-20
10.1007/11513988_44,Extended Weighted Pushdown Systems,,2012-03-20
10.1016/j.scico.2012.10.011,Coccinelle: Tool support for automated CERT C Secure Coding Standard certification,,2015-03-20
10.1145/3290356,Concerto: a framework for combined concrete and abstract interpretation,,2012-03-20
10.1109/CGO.2015.7054185,A parallel abstract interpreter for JavaScript,,2016-03-20
10.1145/2950290.2950296,On-demand strong update analysis via value-flow refinement,,2018-03-20
10.1145/2814270.2814272,Static analysis of event-driven Node.js JavaScript applications,,2015-03-20
10.1109/QRS.2016.23,Automatic Invariant Synthesis for Arrays in Simple Programs,,2017-03-20
10.1016/j.jsc.2011.12.051,Applying abstract acceleration to (co-)reachability analysis of reactive programs,,2019-03-20
10.1007/978-3-540-70545-1_6,Abstract Interpretation with Applications to Timing Validation,,2018-03-20
10.1145/1480828.1480854,Programming language concepts for software developers,,2011-03-20
10.1145/2983990.2984011,Finding resume and restart errors in Android applications,,2017-03-20
10.1023/A:1012336809259,Satisfiability of Dataflow Models of Distributed Programs,,2014-03-20
10.1145/2370776.2370784,Layered fixed point logic,,2016-03-20
10.1145/2591635.2667157,Analysis of interprocedural side effects in a parallel programming environment,,2011-03-20
10.1145/1810479.1810481,Buffer-space efficient and deadlock-free scheduling of stream applications on multi-core architectures,,2012-03-20
10.1145/3385412.3385979,Exact and approximate methods for proving unrealizability of syntax-guided synthesis problems,,2012-03-20
10.1007/978-3-319-10936-7_13,Sparse Dataflow Analysis with Pointers and Reachability,,2018-03-20
10.1109/TSE.2004.1271173,Static analysis of XML transformations in Java,,2020-03-20
10.1007/s10207-009-0086-1,Flow-sensitive  context-sensitive  and object-sensitive information flow control based on program dependence graphs,,2020-03-20
10.1007/978-3-319-47166-2_16,Sparse Analysis of Variable Path Predicates Based upon SSA-Form,,2013-03-20
10.5445/IR/1000068211,Information Flow Control with System Dependence Graphs - Improving Modularity  Scalability and Precision for Object Oriented Languages,,2014-03-20
10.1504/IJCSE.2014.060678,Software porting support with component-based and language neutral source code analysis,,2020-03-20
10.1109/ICSM.2011.6080812,Precise detection of un-initialized variables in large  real-life COBOL programs in presence of unrealizable paths,,2011-03-20
10.1109/RTCSA.2016.45,Static Transformation of Power Consumption for Software Attestation,,2019-03-20
10.1016/j.jlamp.2018.06.003,Demand-driven interprocedural analysis for map-based abstract domains,,2013-03-20
10.1145/2025113.2025125,Modeling the HTML DOM and browser API in static analysis of JavaScript web applications,,2016-03-20
